Период уплаты премии;Возраст Застрахованного;Пол;Смерть ЛП;Инвалидность 1,2. гр. ЛП;Смерть НС;Смерть ДТП;Травма;"КЗ РФ
Взнос";"КЗ Зарубеж
Взнос";i
2;54;m;0,74814%;0,27132%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;55;m;0,79791%;0,29239%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;56;m;0,84930%;0,31483%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;57;m;0,90301%;0,33866%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;58;m;0,96024%;0,36424%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;59;m;1,02168%;0,39218%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;60;m;1,08681%;0,42237%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;61;m;1,15518%;0,45475%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;62;m;1,22766%;0,48921%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;63;m;1,30571%;0,52597%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;64;m;1,38995%;0,54228%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;65;m;1,47894%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
2;66;m;1,57141%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
2;67;m;1,66870%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
2;68;m;1,77326%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
2;69;m;1,88716%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
2;70;m;1,74831%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
3;18;m;0,06140%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;19;m;0,07103%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;20;m;0,08134%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;21;m;0,09229%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;22;m;0,10393%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;23;m;0,11624%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;24;m;0,12898%;0,01633%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;25;m;0,14186%;0,01633%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;26;m;0,15454%;0,01633%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;27;m;0,16699%;0,01633%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;28;m;0,17912%;0,01633%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;29;m;0,19074%;0,01693%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;30;m;0,20162%;0,01831%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;31;m;0,21161%;0,02074%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;32;m;0,22090%;0,02366%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;33;m;0,22981%;0,02705%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;34;m;0,23878%;0,03099%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;35;m;0,24820%;0,03550%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;36;m;0,25857%;0,04073%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;37;m;0,27027%;0,04663%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;38;m;0,28369%;0,05351%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
